system:index,date,ndti_mean,.geo
0,2014-01-01,-0.07506067559632762,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,2014-01-02,-0.11010958992434851,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,2014-01-03,-0.021418339163636665,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,2014-01-04,-0.06283885917225449,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,2014-01-05,-0.10636087139850975,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,2014-01-06,-0.07682083031762107,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,2014-01-07,-0.10110158704523517,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,2014-01-08,-0.09904566617651031,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,2014-01-09,-0.0068516519895451145,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,2014-01-10,-0.0025399822632352726,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,2014-01-11,-0.112690563229539,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,2014-01-12,-0.01899642692805671,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,2014-01-13,-0.011523288834839683,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,2014-01-14,-0.014218560836544146,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,2014-01-15,-0.09644529442807968,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,2014-01-16,-0.0986003908275946,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,2014-01-17,-0.09887934861943717,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,2014-01-18,-0.10872432103820498,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,2014-01-19,-0.049247387417389175,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,2014-01-20,-0.10754416197884364,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,2014-01-21,-0.12207630443822823,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,2014-01-22,-0.03657290434773407,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,2014-01-23,-0.07259231256462047,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,2014-01-24,-0.10320837607511253,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,2014-01-25,-0.00721863775124831,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,2014-01-26,-0.008766361484511459,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,2014-01-27,-0.002341210369147069,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,2014-01-28,-0.004869524695197517,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,2014-01-29,-0.10084502192615598,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,2014-01-30,-0.060124147650857926,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,2014-01-31,-0.04332477746247082,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,2014-02-01,-0.11471188281838496,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,2014-02-02,-0.01006128502089026,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,2014-02-03,-0.002096277770740631,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,2014-02-04,-0.00954437285429021,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,2014-02-05,-0.08996120489976846,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,2014-02-06,-0.054603172020432404,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,2014-02-07,-0.08800253111165016,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,2014-02-08,-0.09891202186682806,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,2014-02-09,-0.09111731037166122,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,2014-02-10,-0.11284505939978258,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,2014-02-11,-0.08819309133988333,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,2014-02-12,-0.10444175151039327,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,2014-02-13,-0.1139424276882182,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,2014-02-14,-0.11456391709949502,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,2014-02-15,-0.012150731081797383,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,2014-02-16,-0.005406841639625045,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,2014-02-17,-0.09640411433115133,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,2014-02-18,-0.08281642089040764,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,2014-02-19,-0.09544445570375737,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,2014-02-20,-0.10189290698250567,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,2014-02-21,-0.10708120356254101,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,2014-02-22,,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,2014-02-23,-0.08895952332132814,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,2014-02-24,-0.0999043090076963,"{""type"":""MultiPoint"",""coordinates"":[]}"
55,2014-02-25,-0.02643509372208702,"{""type"":""MultiPoint"",""coordinates"":[]}"
56,2014-02-26,-0.02437128304107222,"{""type"":""MultiPoint"",""coordinates"":[]}"
57,2014-02-27,-0.030095469863751053,"{""type"":""MultiPoint"",""coordinates"":[]}"
58,2014-02-28,-0.08058225897818592,"{""type"":""MultiPoint"",""coordinates"":[]}"
59,2014-03-01,-0.03754184501203175,"{""type"":""MultiPoint"",""coordinates"":[]}"
60,2014-03-02,-0.004750328612580607,"{""type"":""MultiPoint"",""coordinates"":[]}"
61,2014-03-03,-0.09892738975376562,"{""type"":""MultiPoint"",""coordinates"":[]}"
62,2014-03-04,-0.07683404439550118,"{""type"":""MultiPoint"",""coordinates"":[]}"
63,2014-03-05,-0.10423370835437278,"{""type"":""MultiPoint"",""coordinates"":[]}"
64,2014-03-06,-0.08647862494264433,"{""type"":""MultiPoint"",""coordinates"":[]}"
65,2014-03-07,-0.10651957517709053,"{""type"":""MultiPoint"",""coordinates"":[]}"
66,2014-03-08,-0.010757252004541943,"{""type"":""MultiPoint"",""coordinates"":[]}"
67,2014-03-09,-0.015300702768639105,"{""type"":""MultiPoint"",""coordinates"":[]}"
68,2014-03-10,-0.042132761449489305,"{""type"":""MultiPoint"",""coordinates"":[]}"
69,2014-03-11,-0.01836298954295485,"{""type"":""MultiPoint"",""coordinates"":[]}"
70,2014-03-12,-0.015151117388157682,"{""type"":""MultiPoint"",""coordinates"":[]}"
71,2014-03-13,-0.005168071979495615,"{""type"":""MultiPoint"",""coordinates"":[]}"
72,2014-03-14,-0.017759018527343923,"{""type"":""MultiPoint"",""coordinates"":[]}"
73,2014-03-15,-0.039772696712865215,"{""type"":""MultiPoint"",""coordinates"":[]}"
74,2014-03-16,-0.08103009921087796,"{""type"":""MultiPoint"",""coordinates"":[]}"
75,2014-03-17,-0.015587026450242385,"{""type"":""MultiPoint"",""coordinates"":[]}"
76,2014-03-18,-0.03139664597050045,"{""type"":""MultiPoint"",""coordinates"":[]}"
77,2014-03-19,-0.05811056074234865,"{""type"":""MultiPoint"",""coordinates"":[]}"
78,2014-03-20,-0.075642955274249,"{""type"":""MultiPoint"",""coordinates"":[]}"
79,2014-03-21,-0.06912463463604848,"{""type"":""MultiPoint"",""coordinates"":[]}"
80,2014-03-22,-0.061013631175870164,"{""type"":""MultiPoint"",""coordinates"":[]}"
81,2014-03-23,-0.08861569704045459,"{""type"":""MultiPoint"",""coordinates"":[]}"
82,2014-03-24,-0.011685163488451335,"{""type"":""MultiPoint"",""coordinates"":[]}"
83,2014-03-25,-0.019073224708605174,"{""type"":""MultiPoint"",""coordinates"":[]}"
84,2014-03-26,-0.06499727492998583,"{""type"":""MultiPoint"",""coordinates"":[]}"
85,2014-03-27,-0.07491362085978719,"{""type"":""MultiPoint"",""coordinates"":[]}"
86,2014-03-28,-0.08789466675602856,"{""type"":""MultiPoint"",""coordinates"":[]}"
87,2014-03-29,-0.07572697506700146,"{""type"":""MultiPoint"",""coordinates"":[]}"
88,2014-03-30,-0.042860359283969675,"{""type"":""MultiPoint"",""coordinates"":[]}"
89,2014-03-31,-0.06136527607529824,"{""type"":""MultiPoint"",""coordinates"":[]}"
90,2014-04-01,-0.08651261299605786,"{""type"":""MultiPoint"",""coordinates"":[]}"
91,2014-04-02,-0.09140093137972516,"{""type"":""MultiPoint"",""coordinates"":[]}"
92,2014-04-03,-0.07552800287204234,"{""type"":""MultiPoint"",""coordinates"":[]}"
93,2014-04-04,-0.06986173264611384,"{""type"":""MultiPoint"",""coordinates"":[]}"
94,2014-04-05,-0.08073574220953114,"{""type"":""MultiPoint"",""coordinates"":[]}"
95,2014-04-06,-0.08892674031280172,"{""type"":""MultiPoint"",""coordinates"":[]}"
96,2014-04-07,-0.060884690616878186,"{""type"":""MultiPoint"",""coordinates"":[]}"
97,2014-04-08,-0.08353818860400326,"{""type"":""MultiPoint"",""coordinates"":[]}"
98,2014-04-09,-0.06400766309533891,"{""type"":""MultiPoint"",""coordinates"":[]}"
99,2014-04-10,-0.05338502289459394,"{""type"":""MultiPoint"",""coordinates"":[]}"
100,2014-04-11,-0.0694731808462311,"{""type"":""MultiPoint"",""coordinates"":[]}"
101,2014-04-12,-0.014818664612839013,"{""type"":""MultiPoint"",""coordinates"":[]}"
102,2014-04-13,-0.07608580901428415,"{""type"":""MultiPoint"",""coordinates"":[]}"
103,2014-04-14,-0.051095395528537035,"{""type"":""MultiPoint"",""coordinates"":[]}"
104,2014-04-15,-0.007115780200123495,"{""type"":""MultiPoint"",""coordinates"":[]}"
105,2014-04-16,-0.06790329223191807,"{""type"":""MultiPoint"",""coordinates"":[]}"
106,2014-04-17,-0.08574983557931917,"{""type"":""MultiPoint"",""coordinates"":[]}"
107,2014-04-18,-0.07672624986708323,"{""type"":""MultiPoint"",""coordinates"":[]}"
108,2014-04-19,-0.08170912536867092,"{""type"":""MultiPoint"",""coordinates"":[]}"
109,2014-04-20,-0.08570751666218339,"{""type"":""MultiPoint"",""coordinates"":[]}"
110,2014-04-21,-0.043324561267416135,"{""type"":""MultiPoint"",""coordinates"":[]}"
111,2014-04-22,-0.08636832954471484,"{""type"":""MultiPoint"",""coordinates"":[]}"
112,2014-04-23,-0.07817138501293894,"{""type"":""MultiPoint"",""coordinates"":[]}"
113,2014-04-24,-0.09778041378401695,"{""type"":""MultiPoint"",""coordinates"":[]}"
114,2014-04-25,-0.025929810858170678,"{""type"":""MultiPoint"",""coordinates"":[]}"
115,2014-04-26,-0.09696783834115559,"{""type"":""MultiPoint"",""coordinates"":[]}"
116,2014-04-27,-0.09657491307277795,"{""type"":""MultiPoint"",""coordinates"":[]}"
117,2014-04-28,-0.09280069403794144,"{""type"":""MultiPoint"",""coordinates"":[]}"
118,2014-04-29,-0.1018114599885319,"{""type"":""MultiPoint"",""coordinates"":[]}"
119,2014-04-30,-0.06427168394553286,"{""type"":""MultiPoint"",""coordinates"":[]}"
120,2014-05-01,-0.09313476160367402,"{""type"":""MultiPoint"",""coordinates"":[]}"
121,2014-05-02,-0.0823013600667697,"{""type"":""MultiPoint"",""coordinates"":[]}"
122,2014-05-03,-0.10496150243348257,"{""type"":""MultiPoint"",""coordinates"":[]}"
123,2014-05-04,-0.1026335502862376,"{""type"":""MultiPoint"",""coordinates"":[]}"
124,2014-05-05,-0.022253505909249117,"{""type"":""MultiPoint"",""coordinates"":[]}"
125,2014-05-06,-0.006116085113939777,"{""type"":""MultiPoint"",""coordinates"":[]}"
126,2014-05-07,-0.0789390802815849,"{""type"":""MultiPoint"",""coordinates"":[]}"
127,2014-05-08,-0.007765613947160168,"{""type"":""MultiPoint"",""coordinates"":[]}"
128,2014-05-09,-0.05303213513495333,"{""type"":""MultiPoint"",""coordinates"":[]}"
129,2014-05-10,-0.09888767416995838,"{""type"":""MultiPoint"",""coordinates"":[]}"
130,2014-05-11,-0.05177196709824559,"{""type"":""MultiPoint"",""coordinates"":[]}"
131,2014-05-12,-0.08388590695611914,"{""type"":""MultiPoint"",""coordinates"":[]}"
132,2014-05-13,-0.0826393799777625,"{""type"":""MultiPoint"",""coordinates"":[]}"
133,2014-05-14,-0.08053504120122892,"{""type"":""MultiPoint"",""coordinates"":[]}"
134,2014-05-15,-0.10050716316695392,"{""type"":""MultiPoint"",""coordinates"":[]}"
135,2014-05-16,-0.08293098009223764,"{""type"":""MultiPoint"",""coordinates"":[]}"
136,2014-05-17,-0.10794929405310781,"{""type"":""MultiPoint"",""coordinates"":[]}"
137,2014-05-18,-0.07289278315888698,"{""type"":""MultiPoint"",""coordinates"":[]}"
138,2014-05-19,-0.06859213135837004,"{""type"":""MultiPoint"",""coordinates"":[]}"
139,2014-05-20,-0.07652186976814151,"{""type"":""MultiPoint"",""coordinates"":[]}"
140,2014-05-21,-0.07769531000414974,"{""type"":""MultiPoint"",""coordinates"":[]}"
141,2014-05-22,-0.0860943271991043,"{""type"":""MultiPoint"",""coordinates"":[]}"
142,2014-05-23,-0.09135063148732668,"{""type"":""MultiPoint"",""coordinates"":[]}"
143,2014-05-24,-0.08584231657013297,"{""type"":""MultiPoint"",""coordinates"":[]}"
144,2014-05-25,-0.09086005435416028,"{""type"":""MultiPoint"",""coordinates"":[]}"
145,2014-05-26,-0.08527956231309732,"{""type"":""MultiPoint"",""coordinates"":[]}"
146,2014-05-27,-0.08891445455365231,"{""type"":""MultiPoint"",""coordinates"":[]}"
147,2014-05-28,-0.10865168569032925,"{""type"":""MultiPoint"",""coordinates"":[]}"
148,2014-05-29,-0.02910425234987968,"{""type"":""MultiPoint"",""coordinates"":[]}"
149,2014-05-30,-0.09333362338233633,"{""type"":""MultiPoint"",""coordinates"":[]}"
