system:index,date,ndvi_mean,.geo
0,2014-01-01,0.2166904641360779,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,2014-01-02,0.22709384466449545,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,2014-01-03,0.08608331003707992,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,2014-01-04,0.15506706654447866,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,2014-01-05,0.1878725047253947,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,2014-01-06,0.1965217348325539,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,2014-01-07,0.22585733507768216,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,2014-01-08,0.24380573706910186,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,2014-01-09,0.0014041274530157569,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,2014-01-10,0.00275463708485687,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,2014-01-11,0.2607897498969607,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,2014-01-12,0.023525617327839886,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,2014-01-13,0.034585618011466264,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,2014-01-14,0.06209067851806984,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,2014-01-15,0.2543410471038978,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,2014-01-16,0.22518921714754667,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,2014-01-17,0.24106344558894152,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,2014-01-18,0.26502665149975013,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,2014-01-19,0.12615148712638524,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,2014-01-20,0.2572930490650355,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,2014-01-21,0.28258081560465725,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,2014-01-22,0.11408554426860476,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,2014-01-23,0.123297093701219,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,2014-01-24,0.19764686422495475,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,2014-01-25,0.02093935231930532,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,2014-01-26,0.01953359628162398,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,2014-01-27,0.018994415368662775,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,2014-01-28,0.023908413989616056,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,2014-01-29,0.26509236465993913,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,2014-01-30,0.10523416811305679,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,2014-01-31,0.16157679068395614,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,2014-02-01,0.2949938347026505,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,2014-02-02,0.01997032123003955,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,2014-02-03,9.321946290563947E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,2014-02-04,0.01389927429248028,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,2014-02-05,0.2571164536694849,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,2014-02-06,0.15569153889912138,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,2014-02-07,0.24717459871136954,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,2014-02-08,0.3026132626195923,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,2014-02-09,0.26408901453571076,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,2014-02-10,0.2878706518794064,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,2014-02-11,0.2708277421879283,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,2014-02-12,0.270786701658716,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,2014-02-13,0.33570814449058545,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,2014-02-14,0.27064674911000686,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,2014-02-15,0.08175045608318336,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,2014-02-16,0.01980526939325833,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,2014-02-17,0.2824842668024981,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,2014-02-18,0.27849508014324786,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,2014-02-19,0.2891209087937909,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,2014-02-20,0.3001671179038928,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,2014-02-21,0.2910940093584827,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,2014-02-22,,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,2014-02-23,0.2639925816873462,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,2014-02-24,0.3149821180578071,"{""type"":""MultiPoint"",""coordinates"":[]}"
55,2014-02-25,0.0680980787413772,"{""type"":""MultiPoint"",""coordinates"":[]}"
56,2014-02-26,0.09297313249713675,"{""type"":""MultiPoint"",""coordinates"":[]}"
57,2014-02-27,0.09254381767018827,"{""type"":""MultiPoint"",""coordinates"":[]}"
58,2014-02-28,0.25978975955931083,"{""type"":""MultiPoint"",""coordinates"":[]}"
