system:index,date,sur_refl_b02_mean,.geo
0,2014-01-01,3094.8761785732254,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,2014-01-02,2169.6385791641746,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,2014-01-03,4157.316574047687,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,2014-01-04,2862.891069052792,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,2014-01-05,2640.299761415759,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,2014-01-06,2760.1805536892343,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,2014-01-07,2070.269308331757,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,2014-01-08,2645.4713755931693,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,2014-01-09,7620.485349022941,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,2014-01-10,7115.72417323647,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,2014-01-11,1922.872844644884,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,2014-01-12,6391.03387047229,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,2014-01-13,5448.579667496001,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,2014-01-14,4498.277377689633,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,2014-01-15,2453.0077625824792,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,2014-01-16,2333.213424262752,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,2014-01-17,2879.773347913718,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,2014-01-18,1859.147044520824,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,2014-01-19,3580.2099261240255,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,2014-01-20,2044.5854693168867,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,2014-01-21,1789.9976856148428,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,2014-01-22,3041.8333527151076,"{""type"":""MultiPoint"",""coordinates"":[]}"
